VimState	state
VimVarIndex	eval
VirtTextChunk	decoration
VirtTextPos	decoration
WBuffer	event
WinConfig	buffer
WinExtmark	drawline
WinInfo	buffer
WinSplit	buffer
WinStyle	buffer
XDGVarType	stdpaths
aco_save_T	autocmd
aentry_T	arglist
alist_T	arglist
argv_callback	event
aucmdwin_T	autocmd
bcount_t	extmark
bfa_values	buffer
bhdr_T	memfile
bln_values	buffer
blob_T	typval
blobvar_S	typval
block_def	register
blocknr_T	memfile
buf_T	types
buffblock	getchar
buffblock_T	getchar
buffheader_T	getchar
bufref_T	buffer
bufstate_T	syntax
chanode_t	xtypes
chastore_t	xtypes
chunksize_T	memline
cleanup_T	ex_eval
cleanup_stuff	ex_eval
cmd_addr_T	ex_cmds
cmdarg_T	normal
cmdline_info	ex_getln
cmdmod_T	ex_cmds
colnr_T	pos
color_name_table_T	highlight_group
consumed_blk	memory
context_sha256_T	sha256
cstack_T	ex_eval
cstr_t	map
cursorentry_T	cursor_shape
dict_T	typval
dictvar_S	typval
diff_T	buffer
diffblock_S	buffer
diffline_S	buffer
diffline_T	buffer
diffline_change_S	buffer
diffline_change_T	buffer
disptick_T	buffer
dobuf_action_values	buffer
dobuf_start_values	buffer
eslist_T	ex_eval
eslist_elem	ex_eval
estack_T	runtime
estack_arg_T	runtime
etype_T	runtime
evalarg_T	eval
exarg	ex_cmds
exarg_T	ex_cmds
except_T	ex_eval
except_type_T	ex_eval
exception_state_S	ex_eval
exception_state_T	ex_eval
expand_T	cmdexpand
expr_ast_node	expressions
exprtype_T	eval
fcs_chars_T	buffer
file_buffer	buffer
file_comparison	path
find_func_t	xdiff
float_T	types
flush_buffers_T	getchar
fmark_T	mark
fmarkv_T	mark
foldinfo_T	fold
frame_S	buffer
frame_T	buffer
fromto_T	spell
funccal_entry	userfunc
funccal_entry_T	userfunc
funccall_S	typval
funccall_T	typval
funcdict_T	userfunc
funcexe_T	userfunc
fuzmatch_str_T	fuzzy
garray_T	garray
getf_retvalues	buffer
getf_values	buffer
handle_T	types
hash_T	hashtab
hashitem_T	hashtab
hashtab_T	hashtab
histentry_T	cmdhist
hlf_T	highlight
ht_stack_S	typval
ht_stack_T	typval
idx_T	spell
infoptr_T	memline
internal_proc_cb	event
key_extra	keycodes
key_value_pair	api
keyinfo	termkey-internal
keyvalue_T	strings
langp_T	spell
lcs_chars_T	buffer
linenr_T	pos
list_T	typval
list_stack_S	typval
list_stack_T	typval
listitem_S	typval
listitem_T	typval
listvar_S	typval
listwatch_S	typval
listwatch_T	typval
llpos_T	buffer
lpos_T	pos
lval_T	eval
magic_T	regexp
mapblock	mapping
mapblock_T	mapping
match_T	buffer
matchitem	buffer
matchitem_T	buffer
memfile_T	memfile
memline_T	memline
mfdirty_T	memfile
mmbuffer_t	xdiff
mmfile_t	xdiff
mode_t	win
mpack_data_t	object
mpack_node_s	object
mpack_node_t	object
mpack_rpc_header_s	rpc
mpack_rpc_header_t	rpc
mpack_rpc_message_s	rpc
mpack_rpc_message_t	rpc
mpack_rpc_slot_s	rpc
mpack_sintmax_t	conv
mpack_tokbuf_s	mpack_core
mpack_tokbuf_t	mpack_core
mpack_token_s	mpack_core
mpack_token_t	mpack_core
mpack_token_type_t	mpack_core
mpack_uint32_t	mpack_core
mpack_uintmax_t	conv
mpack_value_s	mpack_core
mpack_value_t	mpack_core
mpack_walk_cb	object
msg_data	message
msglist	ex_eval
msglist_T	ex_eval
mtnode_inner_s	marktree
mtnode_s	marktree
multiqueue	multiqueue
nlua_ref_state_t	executor
object	api
off_T	os
oparg_T	normal
opt_did_set_cb_T	option
opt_expand_cb_T	option
optexpand_T	option
optmagic_T	regexp
optset_T	option
packer_buffer_t	packer
partial_S	typval
partial_T	typval
pos_T	pos
pos_save_T	buffer
proc	event
proc_exit_cb	event
proc_state_cb	event
proftime_T	types
ptr_t	map
pumitem_T	popupmenu
qf_info_S	quickfix
qf_info_T	buffer
queue	queue
reg_extmatch_T	regexp
regmatch_T	regexp
regmmatch_T	regexp
regprog	regexp
regprog_T	types
rstream	event
s_chanode	xtypes
s_chastore	xtypes
s_mmbuffer	xdiff
s_mmfile	xdiff
s_xdchange	xdiffi
s_xdemitcb	xdiff
s_xdemitconf	xdiff
s_xdfenv	xtypes
s_xdfile	xtypes
